Nom	Description	Adresse	URL	Equipements	Horaire	Type	Superficie	Postes	7j/7	Parking	Services
so'work	20 bureaux en openspace4 bureaux privéssalle de réunionespace relax tv baby-foot caféaccueil secrétariatterrasse1 hectare de parkingSo'Work offre des services professionnels et fiables pour les usagers de son centre d'affaires.Nous vous proposons des actions parfaitement adapté à vos besoins.Nous sommes à votre service pour vous conseiller, partager notre savoir-faire et vous fournir un service personnalisé.Ensemble, nous sommes convaincus de trouver des solutions fiables, rapides et simples qui conviendront parfaitement à votre situation.Secrétariat : L’accueil Commande groupées de fournitures, négociation et recherche de fournisseurs Réception de marchandises Opérations de bases: copies et transmissions de fax …(en option), réception et distribution du courrier, organisation de l’entretien courant du bâtiment …Service de transport (option): Sur demande : services de transport (taxi, véhicule avec chauffeur, véhicule de location)La conciergerie (option)	19 rue de rhone, 28400 nogent le rotrou	https://www.neo-nomade.com/mb-47-bnpp_re/espace/5533/coworking-nogent-le-rotrou-so-work	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	8h30 - 18h00	Coworking	350	180	Non	Oui	Parking//Tableaux//Vidéoprojecteur dans la salle de réunions//Vidéo-projecteur//Équipement de cuisine//Animations//Secrétariat accueil conciergerie//Machine a cafe payante 0€/unité
Coworking La Rochelle Le Bastion	Face à la gare de La Rochelle, notre espace de coworking est facile d'accès, avec de nombreux points de restauration aux alentours, notamment sur le Vieux Port à 2 min à pieds. Parking couvert de 615 places à 250m ouvert 24H/24.Ouvert 7 jours/7 24 h/24 pour les coworkers au mois. Réservation des salles de réunion possible le week-end.Connexion internet par Fibre Optique très haut débit. Ethernet et accès Wi-Fi disponibles dans tous les bureaux.Espaces uniques et spacieux : les espaces du Bastion Coworking La Rochelle sont équipés de tables, de chaises, de lampes de bureau et de casiers avec clés pour les coworkers au mois.Imprimantes de qualité professionnelle A3/photocopieuse/scanner multi-fonction.Boissons gratuites : dégustez gratuitement un café fraîchement moulu, un capuccino, un latte machiatto, un thé sur votre lieu de travail.Personnel sur place : nos équipes sont disponibles dans nos locaux, du lundi au vendredi.	24 rue Bastion St Nicolas, 17000 La rochelle	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3793/coworking-la-rochelle-coworking-la-rochelle-le-bastion	Internet haut débit//Cuisine	9h00 - 18h00	Coworking	500	62	Non	Oui	Café moulu//Thé//Rangements sécurisés//Photocopieuse/scanner multi-fonction//Tv / plasma//Téléphones fixe//Badge d'accès automatique//Imprimante de qualité professionnelle couleur a4/ 0.4€/unité//Domiciliation 30€/mois
The Roof Coworking	Espace Coworking au premier étage de THE ROOF - Maison de l'escalade.  Entièrement dédié aux petites entreprises, dans un environnement chaleureux et convivial! Cet espace suit la logique originelle de THE ROOF, c’est-à-dire un environnement écoresponsable et humain! C’est pourquoi 90% du mobilier provient d’élément de récupération, chaque objet à son histoire! Venez donc écrire la vôtre !Un espace multi-services 2 salles de réunion disposant d’un vidéo-projecteur ainsi que d’un appareil de visioconférence! Une coursive et un espace détente pour vos entretiens ou vos appels téléphoniques.Profiter de notre restaurant ainsi que de notre salle d'escalade	22 rue du cardinal, 17000 La Rochelle	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7333/coworking-la-rochelle-the-roof-coworking	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	8h30 - 21h00	Coworking	130	142	Oui	Oui	
COWICO	Bienvenue dans notre tiers lieu du CAMPUS NUMERIQUE de LONS LE SAUNIER.Ce lieu dispose d'un incubateur de startups, d'une fac à distance (campus connecté), d'une école de formation en informatique (ONLINEFORMAPRO), d'un espace COWORKING, d'une pause restauration, d'un FABLAB, d'un TECHLAB, d'un hôtel d'entreprise, de salle de réunions ainsi que d'une salle de GYM.Un espace bien être finalise cet endroit ou il fait bon venir pour travailler.La visioconférence est disponible dans nos salles de réunion.	CAMPUS NUMERIQUE 2 Route de Montaigu , 39000 LONS-LE-SAUNIER	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8792/coworking-lons-le-saunier-cowico	Internet haut débit//Accès handicapé//Espace pause//Cuisine//Climatisation	8h00 - 23h00	Coworking		 550 m2	Oui	Oui	
Télécentre Bassée Montois	Ce télécentre animé par JEHOL Sarl est un espace de travail de 450 m² situé au cœur de la Bassée-Montois, en zone rurale. Ce tiers-lieu accueille les indépendants, artisans, TPE, PME et télétravailleurs du territoire. Basé à Donnemarie-Dontilly, il se situe entre la Nationale 19 qui va de Paris à Provins, et l’A5, autoroute principale du sud de l’Ile-de-France.Inséré dans l’hôtel d’entreprises JEHOL, le télécentre est connecté à la fibre optique et propose donc l’accès internet Très Haut Débit. Il est composé d’un espace de bureaux partagés, d’une salle de réunion, d’une salle de formation, et d’un espace de détente et restauration.Sont mis à disposition une pluralité de médias depuis la station de travail jusqu’aux outils d’impression grand format, de diffusion ou de stockage ou de formation avec vidéoprojecteur et synchronisation GPS pour les exigences des nouvelles technologies, ainsi qu’un service de secrétariat et de domiciliation.Le télécentre propose des solutions tarifaires flexibles selon les besoins des professionnels : paiement à l’heure, à la journée, à la semaine, au mois…La réservation se fait directement en ligne avec un paiement instantané.L’accès au télécentre s’effectue par badge 24h/ 24, 7jrs/ 7.JEHOL a adhéré à l’association Initiatives Télécentres 77 en octobre 2014. Le télécentre a signé une convention de partenariat avec la Communauté de communes de la Bassée-Montois. Un partenariat est également en cours avec NOMADE OFFICE.Contact : M Frédéric MERLE - Mobile : 06 86 34 77 14 - www.jehol-77.fr	1 rue des Augères, 77520 Donnemarie dontilly	https://www.neo-nomade.com/mb-47-bnpp_re/espace/3107/coworking-donnemarie-dontilly-telecentre-bassee-montois	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine	8h30 - 0h	Coworking	400	68	Non	Oui	Espace café / lounge//Box archives sécurisés//Box archives sécurisé//Ensemble présentation dynamique//Mise à disposition d'ordinateur//Parking 40 voitures//Tv espace détente//Vidéo-projecteur avec salle de formation//Ensemble présentation dynamique//Accès fablab//Accès 24/7//Badge d'accès automatique//Restaurants à proximités 0€/unité//Imprimante multifonctions a3/a4 0€/unité//Domiciliation ccbm 35€/unité//Bureau réunion ccbm 35€/demi-journée//Salle de formation 20 pers ccbm 72€/journée//Bureau 16m2 avec placard ccbm ch 325€/mois//Bureau 35m2 ccbm ch 700€/mois//Telecentre ccbm 25€/journée
Oasis Coworking	L'Oasis Coworking est un nouvel espace de coworking sur la rive droite de Bordeaux, à Cenon.Nous proposons plusieurs espaces : - un espace Flex, pour les coworkers ponctuels à la journée ou la demi-journée (de 9h à 18h en semaine)- des bureaux dédiés en open-space avec caisson de rangement (accessible 24h/24 et 7j/7 !)- des bureaux fermés pour 2 à 4 personnes- une salle de réunion pour 12 à 15 personnes avec écran plat, et une salle d'entretien pour 2 à 3 personnes, le tout à l'heure ou à la journée- une douche et une salle pour faire la sieste !Un espace cuisine et canapé est accessible pour tous les coworkers, le café et le thé sont à volonté (et les fruits de saison ! ), et l'Oasis est entièrement climatisé et accessible PMR.L'espace dispose d'une connexion fibre 1giga et d'une imprimante.Des afterworks et événements networking sont régulièrement organisés.L'espace est situé sur la ligne de Tram A (arrêt Cenon-Gare), au niveau de la Gare de Cenon (4min en TER depuis la Gare Saint-Jean !).	68bis Avenue Jean Jaurès, 33150 Cenon	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6161/coworking-cenon-oasis-coworking	Internet haut débit//Accès handicapé//Espace pause//Cuisine//Climatisation	9h00 - 18h00	Coworking	200	27	Non	Oui	Scanner//Tv 150cm//Tableaux//Café et thé à volonté//Douche//Imprimante 0.05€/unité 0.1€/unité//Domiciliation 39€/mois
A Place For You	Bienvenue dans notre espace de travail et de convivialité.A partir de 95€/mois, A PLACE FOR YOU vous propose à la location des bureaux individuels, partagés, coworking, loft, salles de réunion.Wifi et Ethernet haut débit fibre, ligne téléphonique vers 117 pays, n° privé - parking sur site, climatisation, espace vert extérieur. Contrat de prestations de services incluant toutes consommations d’énergie et communication, ménage, impôts et taxes - accueil, attente avec personnel - salles de réunion, formation, conférence de 10 à 67 places.	591 av Saint Just, 77000 Vaux Le Pénil / Melun	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7089/coworking-vaux-le-penil-melun-a-place-for-you	Internet haut débit//Accès handicapé//Espace pause//Espace extérieur//Cuisine//Climatisation	24h/24	Coworking	500	186	Oui	Oui	Parking sur site//Parking sur site//Téléphone avec ligne dédié
Hcenter	Si vous êtes à la recherche d'un Centre d'affaires, de locations de bureaux équipés, bureaux individuels ou open space, de salles polyvalentes pour tous vos évènements tels que séminaire, formation, réunion, assemblé générale, cocktail ... pour les petites, grandes et moyennes entreprises, vous êtes au bon endroit. Situé à 10 min de la gare de Melun, ce Centre d'affaires propose des équipements haut de gamme, des services multiples aux entreprises et des offres importantes de bureaux. Secrétariat à la carte,Archivage et Stockage Restaurant sur place, Prestations Traiteur, Copy Service, et bien d'autres services encore... Les bureaux sont accessibles 24h/24, 7j/7	11 rue Benjamin Franklin, 77000 La rochette	https://www.neo-nomade.com/mb-47-bnpp_re/espace/1955/centre-d-affaires-la-rochette-hcenter	Internet haut débit	8h30 - 18h00	Centre d'affaires		58	Non	Oui	Rangements sécurisés//Impression / copie//Parking//Téléphones fixe//Café / thé 1€/unité//Plateau repas 10€/unité//Domiciliation 30€/mois
ARE YOU COWORKING Savigny-le-Temple	Le lieu EVEREST COWORKING du 21 rue des Sources à SAVIGNY-LE-TEMPLE (77176) est le berceau du groupe AREYOUCOWORKING.Situé dans la zone d’activité de SAVIGNY LE TEMPLE desservi en bus et à 15 mn à pied de la gare. Il est à la croisée des routes de la A5/A6 et de la N104.Everest Coworking est équipé de son et lumières, vidéo-projecteur idéal pour vos réunions, séminaires, anniversairesSon espace cuisine funky facilitent les échanges lors des petits déjeuners pour les réunion réseau comme le BNI, les afterworks organisés les jeudis soirs pour réseauter et se féliciter de sa journée. Sa terrasse extérieure couverte est idéale pour les pauses cafés.	21 rue des Sources, 77176 SAVIGNY-LE-TEMPLE	https://www.neo-nomade.com/mb-47-bnpp_re/espace/6921/centre-d-affaires-savigny-le-temple-are-you-coworking-savigny-le-temple	Internet haut débit//Espace pause//Cuisine	Fermé - Fermé	Centre d'affaires	580	104	Non	Oui	
CO&WORK LA ROCHELLE	Bienvenue chez Co&Work La Rochelle!Nous avons la chance et le plaisir de vous accueillir dans un lieu emblématique du quartier de La Pallice, l'ancienne Poste. 200 m2 dédiés à tous ceux qui souhaitent travailler dans un esprit d'échange, de collaboration et de créativité.	98 BOULEVARD EMILE DELMAS, 17000 LA ROCHELLE	https://www.neo-nomade.com/mb-47-bnpp_re/espace/7009/coworking-la-rochelle-co-work-la-rochelle	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Coworking	200	183	Non	Oui	Salle de réunion//Casier sécurisé//Ordinateur//Stationnement gratuit//Tv//Vidéo-projecteur//Cuisine équipée//Accueil dédié//Douche//Service d'impression ouvert à tous 0.08€/unité//Domiciliation 33.33€/mois
Whoorks Bordeaux	Situé à deux pas de la Cité du vin et des Halles de Bacalan, l’espace de Flex Office Whoorks Bacalan vous propose des bureaux meublés, équipés (connexion internet, visio-conférence, tableaux tactiles, etc.) et assortis de salles de réunion modulables, d’un café et d’une agora d’une centaine de places.	117 Quai de Bacalan , 33000 Bordeaux	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8711/centre-d-affaires-bordeaux-whoorks-bordeaux	Internet haut débit//Une personne à l'accueil//Espace pause//Espace extérieur//Climatisation	8h00 - 18h00	Centre d'affaires		2	Non	Oui	
Regus Bordeaux - Ravezies	Situé au cœur de Ravezies entre Bordeaux-Lac et le centre-ville, l'immeuble de bureaux Lumine&Sens bénéficie du dynamisme de ce quartier en pleine mutation. La municipalité de Bordeaux et la Communauté Urbaine de Bordeaux développent en effet ici une vaste opération urbaine alliant logements et bureaux sur une superficie de 4,4 ha. Le parti pris architectural de Lumine&sens, conçu par le Cabinet d’architectes Flint, est résolument contemporain : formes géométriques épurées, couleurs métallisées… L’immeuble ne passe pas inaperçu et se mêle harmonieusement aux constructions neuves du quartier Ravezies.	32 allée du Boutaut, 33000 Bordeaux	https://www.neo-nomade.com/mb-47-bnpp_re/espace/8289/centre-d-affaires-bordeaux-regus-bordeaux-ravezies	Internet haut débit//Accès handicapé//Une personne à l'accueil//Espace pause//Espace extérieur//Cuisine//Climatisation	9h00 - 18h00	Centre d'affaires		50	Non	Oui	
